"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"ACY3",0.475084882948783,0.16349873228288,0.37851162325373,0.454175893185802,0.367371065648529,0.286881147788162
"ACYP1",4.81352468929781,5.26341005875634,5.00854067170295,5.28872767951457,5.20124177119825,5.21140163741847
"ACYP2",3.75274859140713,3.46466826700344,3.22650852980868,3.22804904788446,2.90303827011291,3.3533232911629
"ADA",4.32337006906127,4.30597052098439,4.14812063112396,4.46336088581666,4.34553831007001,4.41345868800798
"ADAM10",4.9481335778404,4.9217219470096,4.95046841415012,4.87578006306849,4.91073266190291,5.08193608171943
"ADAM11",0.773996325111173,0.687060688339892,0.545968369105292,0.189033824390017,0.22650852980868,0.22650852980868
"ADAM12",2.92789645372882,2.78868571061353,2.70708299177171,2.60169651648096,2.63226821549951,2.84197311892718
"ADAM15",7.49305484153943,7.42584530563943,7.33530102096586,7.00809242094872,6.9249312390522,6.93369065495223
"ADAM17",3.85399564717639,3.76871365703048,3.70265754339091,4.37503943134692,4.31614574229336,4.53977919169849
"ADAM21",0.545968369105292,0.584962500721156,0.464668267003444,0.344828496997441,0.411426245726465,0.263034405833794
"ADAM22",0.855989697308481,0.823749360308273,0.941106310946431,1.02147972741045,0.978195629681652,1.36176835941915
"ADAM32",0.20163386116965,0.124328135002202,0.0565835283663675,0.150559676575381,0.0840642647884745,0
"ADAM8",0.641546029087524,0.604071323668861,0.641546029087524,0.432959407276106,0.37851162325373,0.443606651475615
"ADAM9",6.18566835930362,6.21081743208921,6.17871464117544,5.47832471148503,5.4966540825935,5.49281457256712
"ADAMTS1",3.46727948045998,3.28688114778816,3.80219321694183,3.33771109212829,3.4154882710497,3.35755200461808
"ADAMTS10",4.22032995487956,3.96809075204526,4.04176864995163,3.98913900736823,3.75915583380027,3.94766615679601
"ADAMTS13",0.422233000683048,0.344828496997441,0.411426245726465,0.55581615506164,0.31034012061215,0.613531652917927
"ADAMTS14",0.84799690655495,1.0071955014042,0.622930350920177,1.76977173924945,1.51601514700366,1.72246602447109
"ADAMTS15",2.36737106564853,2.20789285164133,1.56071495447448,1.76553474636298,1.81557542886257,1.84398384404833
"ADAMTS16",0.622930350920177,0.855989697308481,0.575312330687437,0.839959587489532,0.526068811667588,0.669026765509631
"ADAMTS2",0.189033824390017,0.0840642647884745,0.16349873228288,0,0,0
"ADAMTS4",0.0976107966264223,0.250961573533219,0.475084882948783,0.333423733725192,0.238786859587116,0.286881147788162
"ADAMTS5",2.39231742277876,2.24792751344359,2.114367024952,2.55826763405574,2.61588707391606,2.72683121703249
"ADAMTS6",0.871843648509318,0.879705766282288,0.75702324650746,0.53605290024021,0.807354922057604,0.722466024471091
"ADAMTS7",0.516015147003665,0.604071323668861,0.454175893185802,0.871843648509318,0.545968369105292,0.55581615506164
"ADAMTS8",0.84799690655495,1.03562390973072,1.05658352836637,1.41142624572647,1.38404980679516,1.27500704749987
"ADAMTSL4",2.93734439215023,2.94673086014031,2.85598969730848,3.12598165385472,3.06004738366994,3.1811025507538
