"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"CLASP1",1885,1628,1858,1254.98,1076,1586.98
"CLASP2",538,474,517,389,396,488
"CLASRP",830,569,660,580,440,666
"CLBA1",311,249,205,159,159,188
"CLCC1",740.03,576.27,645.42,416.47,460.34,532.08
"CLCF1",244,189,168,89,90,118
"CLCN2",234.95,155.22,161.63,133.54,91.08,148.7
"CLCN3",571,481,528,322,340.32,422
"CLCN4",340,195,245,111,127,165
"CLCN5",348,244,303,186,190,225
"CLCN6",574.55,498,472,566.75,584.86,679.78
"CLCN7",3019.57,1758.17,1989.65,1809.28,1564.84,2097.94
"CLCNKA",149.96,138,137.78,91.84,63.83,107.89
"CLCNKB",2.04,0,3.22,6.16,2.09,3.23
"CLDN12",887,619,737,387,387,488
"CLDN14",18,8.39,12.67,3,1,5.19
"CLDN15",175,132,128,84,56,93
"CLDN18",4,9,4,2,5,6
"CLDN2",17,17,15,3,7,2
"CLDN20",1,0,1,4,2,3
"CLDN22",7.7,3.95,0,13.81,7.58,0
"CLDN23",94,43,74,41,38,52
"CLDN4",1499,1012,980,642,594,736
"CLDN5",8,5,5,3,4,4
"CLDN6",2,1,3,3,1,1
"CLDN7",926,836,944,157,104,153
"CLDN9",15,13,8,14,3,12
"CLDND1",676.3,667,628,416,413,488
"CLDND2",6,2.25,4.17,4.19,1.08,6.35
"CLEC16A",674,549,642,507,488,671
"CLEC18A",8.67,3.75,2.8,0,2,2
"CLEC18B",15.33,10.25,5.2,3,0,0
"CLEC2B",113,65,89,10,18,14
"CLEC2D",16.71,10.96,27.78,11.69,7.64,11.48
"CLHC1",63,51,48,27,19,26
"CLIC1",7715.42,5403.55,5909.43,3606.17,3733.49,4286.14
"CLIC2",173,148,133,34,35,26
"CLIC3",462,436,446,155,132,144
"CLIC4",3540.99,2962,3474.99,2033.95,2146.98,2708.98
"CLINT1",1644,1320,1593,1132,1180,1418
"CLIP1",2007.37,1808,2038.06,1436.62,1372,1751.03
"CLIP2",996,747,946,408,389,493
"CLIP3",27,18,25,12,15,16
"CLIP4",232,190,195,108,118,140
"CLK1",577,559,438,373,340,465
"CLK2",715.92,494,565.65,427.83,417.11,523.22
"CLK3",1179,883,967,649,613,689
"CLK4",194,149,142,150,118,161
"CLMN",36.45,31,40.28,43,61,54
"CLMP",1407.97,1179.94,1317.84,1059.94,1028.94,1299.9
"CLN3",880,603,737,497,426,561
"CLN5",348.1,304.1,283.08,210.14,223.09,283.23
"CLN6",1377.67,945.64,1030.86,918.86,840.89,1085.92
"CLN8",332,219,218,106,92,128
"CLNS1A",3008.28,2479.32,2776.38,2106,2204.64,2465.1
"CLOCK",365,305,354.57,277,220.64,371
"CLP1",381,281,302,225,192.54,247
"CLPB",1405.74,916.34,1005.79,751.93,750.72,934.39
"CLPP",1891,1228,1384,976,983,1173
"CLPTM1",2447,1707,2153,1307,1244,1635
"CLPTM1L",8546,7323,8383,6265,5981,6916
"CLPX",1054,824,972,668.99,712.99,848
"CLSPN",1873,1612.92,1687.99,1207.96,1216.96,1484.95
"CLSTN1",5984,5132,6194,3646,3162,4079
"CLSTN2",6,11,5,6,8,9
"CLSTN3",1274,907.2,925,527,407,574.02
"CLTA",2526,1786,1960,1401,1265,1618
"CLTB",1739,1189,1327,1022,931,1125
"CLTC",10753.78,8330.87,9614.24,5589.34,5911.62,7499.51
"CLTCL1",2112.13,1820.47,1854.58,1085.71,1004.81,1232.59
"CLTRN",5,5.66,15,3,0,3.88
"CLU",21507,21706,27396,11048,10396,12401
"CLUAP1",169,127.86,148.16,104.99,108,122
"CLUH",5142,3314,3496,2873,2494,3314
"CLYBL",74.78,87.88,67.1,35.87,39.95,49.94
"CMAS",1347,955,1102,672,641,823
"CMBL",2203,1712,2003,1018,946,1251
"CMC1",314.18,242.09,275.63,197.26,175.84,212.95
"CMC2",1147.36,801.95,944.6,664.56,623.78,689.58
"CMC4",235.01,226.86,195.2,193.33,212.39,221.13
"CMIP",3132,2777,3396,1807,1738,2260
"CMKLR2",44,36,51,14,8,18
"CMPK1",2386,1911,2321,1326,1423.99,1598
"CMSS1",780,650,716,434,490,621
"CMTM1",35.53,28.76,34.62,14.84,19,19
"CMTM4",1129,874,896,693,633,780
"CMTM6",500,444,478,310,371,421
"CMTR1",1150,850,893,767,713,851
"CMTR2",397,334,370,235,238,302
"CMYA5",8,10,5,11,4,11
"CNBP",7460,5277,6350,4719,4699,5595
"CNDP2",979,730,730,546,580,682
"CNEP1R1",113,104,100,60,62,80
"CNFN",34,29,18,18,10,7
"CNGA3",29,12,22,5,2,2
"CNGB1",84,87,101,14,29,19
"CNIH1",901,765,853,572,584,759
"CNIH2",17,13,11,4,7,6
"CNIH4",793,573,600,326,355,359
"CNKSR1",251,207,225,169,138,170
"CNKSR3",443,397,430,289,297.8,350.74
"CNN2",2414,1840,1982,1414,1333,1613
"CNN3",4223,3847,4478,2414,2381,2931
"CNNM2",793.9,656.99,883.27,497.38,471.72,632.66
"CNNM3",2176,1639,1923,1303,1138,1561
"CNNM4",821,548,580,383,359,469
"CNOT1",5263.63,4744.34,5074.02,3403.44,3275.72,4456.74
"CNOT10",676,599,646,444,429,535
"CNOT11",1546,1224,1390,889,833,1008
"CNOT2",869,740.76,885.11,629,646,799.72
"CNOT3",1154.02,870.68,1059.67,713.63,617.63,805.64
"CNOT4",461,344,393,246,262,378
"CNOT6",762,646,707,501,519,646
"CNOT6L",367,339,383,296.93,269,356.93
"CNOT7",1926.02,1632.5,1911,950.31,970,1125.43
"CNOT8",1848,1546,1761,1120,1099.88,1439
"CNOT9",1503,1104.58,1252,876,869.82,1048
